Genre,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
edm,0.528,0.732,-9.492,1.0,0.0319,0.868,0.109,0.0324,199.978
edm,0.602,0.931,-4.443,0.0,0.0507,0.000677,0.294,0.48,123.994
edm,0.387,0.963,-3.912,0.0,0.00887,0.00384,0.294,0.16,138.025
edm,0.731,0.886,-3.228,1.0,0.0281,4.59e-06,0.226,0.797,125.992
edm,0.813,0.789,-4.673,1.0,0.0109,0.0157,0.31,0.377,126.04
edm,0.59,0.469,-7.387,0.0,0.206,0.0,0.109,0.37,149.86
edm,0.797,0.672,-6.135,1.0,0.0442,0.0027,0.149,0.561,131.978
edm,0.561,0.811,-4.167,1.0,0.194,6.13e-05,0.309,0.34,145.04
edm,0.73,0.558,-6.535,1.0,0.0179,0.0,0.128,0.618,100.066
edm,0.66,0.729,-5.244,0.0,0.000851,0.00679,0.108,0.439,105.015
edm,0.657,0.89,-6.025,1.0,0.00822,0.00478,0.364,0.373,95.025
edm,0.681,0.754,-5.893,0.0,0.125,0.00155,0.211,0.209,123.998
edm,0.633,0.592,-7.245,0.0,0.197,0.0,0.099,0.679,90.066
edm,0.728,0.914,-1.413,0.0,0.156,6.92e-05,0.15,0.527,74.969
edm,0.741,0.667,-5.445,1.0,0.0575,0.0,0.106,0.595,112.956
edm,0.592,0.697,-8.924,1.0,0.0113,0.842,0.15,0.122,125.999
edm,0.636,0.761,-7.752,0.0,0.00383,0.00784,0.0851,0.462,120.842
edm,0.56,0.857,-4.145,0.0,0.0594,0.0,0.381,0.432,119.975
edm,0.623,0.727,-5.57,0.0,0.184,2.02e-05,0.309,0.4,125.975
edm,0.505,0.865,-6.493,0.0,0.0822,0.346,0.175,0.229,128.027
edm,0.642,0.869,-5.271,0.0,0.252,0.0288,0.0708,0.376,123.91
edm,0.657,0.847,-6.435,0.0,0.00247,0.0325,0.105,0.29,144.937
edm,0.586,0.499,-6.627,1.0,0.645,0.0,0.109,0.272,149.79
edm,0.558,0.784,-5.597,1.0,0.0578,0.00456,0.105,0.377,125.015
edm,0.693,0.767,-6.822,1.0,0.0255,4.5e-06,0.158,0.204,123.014
edm,0.545,0.709,-5.662,0.0,0.0214,0.0,0.141,0.559,125.004
edm,0.525,0.849,-7.727,0.0,0.00232,0.00196,0.322,0.277,128.055
edm,0.608,0.71,-4.998,1.0,0.43,0.0,0.0903,0.613,124.985
edm,0.654,0.701,-7.831,1.0,0.0237,4.87e-05,0.129,0.533,124.922
edm,0.787,0.537,-6.827,0.0,0.594,6.26e-05,0.114,0.346,108.994
edm,0.593,0.804,-7.217,1.0,0.0453,0.0,0.367,0.381,121.97
edm,0.638,0.489,-6.206,1.0,0.582,0.0,0.0965,0.548,106.915
edm,0.724,0.744,-4.757,1.0,0.00219,4.49e-06,0.116,0.645,119.978
edm,0.798,0.828,-5.36,1.0,0.0247,2.55e-06,0.121,0.6,124.962
edm,0.653,0.507,-9.125,0.0,0.104,0.0,0.0949,0.263,150.198
edm,0.738,0.671,-9.406,1.0,0.00621,0.000326,0.0641,0.448,109.991
edm,0.855,0.856,-2.574,0.0,0.000926,0.00271,0.959,0.516,127.989
edm,0.699,0.945,-0.942,1.0,0.0289,0.0,0.362,0.861,149.95
edm,0.875,0.929,-2.608,0.0,0.0139,0.00416,0.0942,0.509,126.013
edm,0.692,0.649,-5.376,1.0,0.0691,0.0,0.0974,0.699,97.977
edm,0.432,0.781,-4.038,0.0,0.041,4.21e-06,0.0789,0.197,139.432
edm,0.506,0.805,-4.119,1.0,0.00711,0.00193,0.0856,0.383,126.008
edm,0.605,0.783,-4.271,1.0,0.299,0.000175,0.133,0.105,124.015
edm,0.522,0.887,-3.017,1.0,0.0126,0.0223,0.882,0.138,130.016
edm,0.64,0.59,-2.502,0.0,0.0495,0.206,0.144,0.103,90.047
edm,0.495,0.532,-8.846,0.0,0.0227,0.354,0.331,0.0514,140.004
edm,0.356,0.576,-9.825,1.0,0.641,0.000921,0.311,0.444,127.99
edm,0.741,0.893,-2.549,0.0,0.0435,3.19e-05,0.0371,0.733,122.056
edm,0.402,0.755,-4.837,1.0,0.143,0.0,0.357,0.622,108.17
edm,0.811,0.499,-9.37,1.0,0.255,0.00478,0.189,0.373,144.028
edm,0.548,0.835,-5.094,1.0,0.00874,0.000653,0.238,0.385,160.022
edm,0.514,0.934,-3.201,0.0,0.0525,0.00089,0.137,0.182,127.953
edm,0.676,0.987,-2.907,0.0,0.201,0.681,0.113,0.556,137.994
edm,0.655,0.643,-5.041,1.0,0.0205,0.0,0.115,0.29,124.812
edm,0.529,0.72,-6.226,0.0,0.0245,0.000146,0.195,0.105,105.015
edm,0.489,0.752,-5.422,1.0,0.665,0.000669,0.55,0.179,192.133
