Genre,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
edm,0.691,0.695,-5.6,1.0,0.0592,0.0,0.0647,0.514,106.064
edm,0.432,0.781,-4.038,0.0,0.041,4.21e-06,0.0789,0.197,139.432
edm,0.587,0.963,0.366,0.0,0.0656,0.0,0.27,0.491,127.842
edm,0.611,0.644,-7.607,0.0,0.124,0.0,0.124,0.13,105.969
edm,0.69,0.622,-5.025,0.0,0.253,0.0,0.116,0.544,102.04
edm,0.607,0.649,-6.695,0.0,0.0306,2.46e-05,0.174,0.505,102.996
edm,0.453,0.643,-9.842,1.0,0.0855,0.000621,0.0891,0.318,91.992
edm,0.631,0.953,-3.739,1.0,0.0241,0.0155,0.108,0.422,141.99
edm,0.694,0.712,-3.923,0.0,0.132,0.0,0.211,0.799,98.023
edm,0.51,0.846,-4.595,1.0,0.0101,0.0,0.208,0.475,139.927
edm,0.714,0.817,-4.621,0.0,0.0866,0.00435,0.321,0.123,126.026
edm,0.575,0.571,-7.906,1.0,0.0558,0.0,0.0912,0.449,105.049
edm,0.707,0.629,-4.581,0.0,0.259,1.6e-05,0.138,0.457,122.863
edm,0.602,0.892,-3.66,0.0,0.000393,0.813,0.304,0.57,102.047
edm,0.738,0.794,-4.118,0.0,0.101,0.0,0.0533,0.566,104.014
edm,0.621,0.747,-5.084,1.0,0.222,0.000194,0.147,0.426,124.015
edm,0.661,0.723,-6.976,0.0,0.179,1.23e-05,0.14,0.316,113.778
edm,0.64,0.789,-4.891,1.0,0.0875,0.0,0.147,0.762,75.018
edm,0.662,0.858,-4.844,1.0,0.00163,0.0,0.0456,0.295,133.993
edm,0.763,0.608,-8.1,0.0,0.262,2.5e-05,0.12,0.393,121.02
edm,0.791,0.565,-3.933,0.0,0.0623,0.0,0.156,0.181,99.961
edm,0.483,0.917,-2.528,1.0,0.00235,0.000347,0.119,0.323,129.035
edm,0.81,0.7,-5.664,0.0,0.267,6.69e-05,0.137,0.193,116.019
edm,0.586,0.861,-3.089,0.0,0.00987,7.17e-05,0.128,0.478,142.16
edm,0.585,0.73,-4.038,0.0,0.0171,0.0,0.0488,0.222,104.824
edm,0.475,0.715,-5.371,1.0,0.0863,2.67e-05,0.135,0.159,199.892
edm,0.537,0.786,-4.331,1.0,0.075,0.0,0.253,0.178,127.994
edm,0.537,0.65,-4.665,0.0,0.215,0.000122,0.1,0.358,95.056
edm,0.594,0.64,-6.865,1.0,0.0169,0.0,0.135,0.492,92.871
edm,0.725,0.681,-6.8,0.0,0.0201,0.301,0.0995,0.453,110.938
edm,0.827,0.757,-2.985,0.0,0.283,1.56e-06,0.102,0.374,95.983
edm,0.78,0.856,-6.264,0.0,0.0233,0.0,0.0916,0.605,104.904
edm,0.771,0.644,-7.746,1.0,0.522,7.13e-06,0.076,0.831,145.029
edm,0.685,0.886,-4.179,1.0,0.028,0.0,0.481,0.615,125.034
edm,0.843,0.802,-4.167,0.0,0.158,5e-06,0.0642,0.618,95.881
edm,0.362,0.858,-3.92,1.0,0.00211,1.3e-06,0.25,0.282,127.891
edm,0.789,0.694,-5.781,0.0,0.099,0.0,0.0962,0.549,96.032
edm,0.598,0.526,-8.659,0.0,0.129,0.0,0.14,0.529,123.935
edm,0.619,0.558,-12.15,0.0,0.0558,0.00935,0.16,0.514,195.004
edm,0.67,0.587,-7.82,0.0,0.43,0.0,0.132,0.67,167.873
edm,0.721,0.676,-6.534,1.0,0.0052,2.58e-06,0.205,0.394,140.08
edm,0.643,0.585,-5.994,1.0,0.225,0.0,0.0927,0.188,106.015
edm,0.692,0.517,-5.64,1.0,0.0665,0.0,0.505,0.181,83.091
edm,0.742,0.947,-3.749,1.0,0.0906,0.0221,0.0721,0.88,130.043
edm,0.687,0.785,-4.65,1.0,0.327,0.0,0.203,0.655,106.046
edm,0.601,0.777,-4.612,1.0,0.269,0.0,0.0883,0.485,119.963
edm,0.626,0.864,-3.12,1.0,0.0682,0.0,0.087,0.555,123.833
edm,0.665,0.738,-5.931,0.0,0.0124,0.00598,0.0923,0.0389,125.037
edm,0.716,0.655,-5.999,1.0,0.00857,0.162,0.0572,0.207,125.012
edm,0.735,0.691,-6.475,1.0,0.0876,0.0,0.34,0.548,110.018
edm,0.568,0.728,-4.418,1.0,0.0746,4.2e-06,0.349,0.62,195.984
edm,0.504,0.748,-4.124,1.0,0.0308,0.0,0.295,0.356,125.889
edm,0.674,0.86,-3.318,1.0,0.155,3.21e-06,0.359,0.771,122.975
edm,0.402,0.913,-6.212,0.0,0.000547,2.52e-06,0.0869,0.351,213.928
edm,0.663,0.849,-4.462,0.0,0.0791,1.2e-06,0.192,0.722,123.992
edm,0.694,0.828,-4.653,0.0,0.0399,0.0,0.0796,0.407,126.002
edm,0.802,0.78,-6.564,1.0,0.0075,0.824,0.147,0.623,125.027
edm,0.609,0.83,-3.229,0.0,0.117,0.0,0.18,0.478,128.986
edm,0.695,0.781,-5.578,0.0,0.0185,3.12e-05,0.295,0.456,124.04
edm,0.682,0.855,-3.282,1.0,0.0564,0.0,0.101,0.304,124.005
edm,0.738,0.617,-8.334,0.0,0.000152,0.129,0.0651,0.624,120.017
edm,0.648,0.86,-4.974,1.0,0.00636,0.0289,0.135,0.625,128.03
edm,0.616,0.505,-6.786,1.0,0.441,0.00456,0.219,0.671,96.036
edm,0.653,0.836,-5.626,0.0,0.0452,0.299,0.1,0.804,133.182
edm,0.733,0.406,-9.351,1.0,0.434,0.0,0.115,0.47,148.959
edm,0.792,0.718,-4.619,1.0,0.39,7.5e-05,0.301,0.545,103.049
edm,0.688,0.725,-7.806,1.0,0.0195,7.63e-06,0.0726,0.225,104.006
edm,0.665,0.628,-6.297,1.0,0.00502,2.02e-05,0.0947,0.551,121.979
edm,0.73,0.861,-4.1,1.0,0.39,0.0,0.213,0.704,117.965
edm,0.63,0.768,-4.891,1.0,0.0266,0.439,0.364,0.32,104.913
edm,0.674,0.881,-2.853,1.0,0.296,3.01e-06,0.0793,0.234,98.994
edm,0.605,0.783,-4.271,1.0,0.299,0.000175,0.133,0.105,124.015
edm,0.667,0.937,-4.053,0.0,0.0271,1.27e-05,0.318,0.22,75.015
edm,0.789,0.72,-5.652,0.0,0.223,0.0,0.129,0.664,122.031
edm,0.414,0.486,-6.431,0.0,0.0129,0.0,0.111,0.368,128.038
edm,0.652,0.603,-6.555,1.0,0.241,0.0,0.132,0.192,106.025
edm,0.607,0.767,-6.069,0.0,0.118,0.0,0.122,0.662,123.998
edm,0.686,0.856,-2.717,0.0,0.0896,0.0,0.0648,0.733,123.997
edm,0.65,0.738,-6.46,0.0,0.0539,0.0,0.206,0.336,119.827
edm,0.839,0.701,-6.029,1.0,0.0165,0.00365,0.0513,0.273,99.984
edm,0.597,0.527,-8.658,0.0,0.127,0.0,0.14,0.535,123.946
edm,0.539,0.715,-6.639,0.0,0.0265,0.0,0.609,0.489,123.854
edm,0.677,0.744,-6.806,0.0,0.0405,0.000153,0.074,0.631,124.077
