Genre,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
rock,0.211,0.849,-3.994,0,0.00605,0.000436,0.263,0.59,175.616
rock,0.452,0.524,-10.108,1,0.315,0,0.103,0.246,151.505
rock,0.513,0.396,-13.061,1,0.251,0.177,0.11,0.229,140.208
rock,0.468,0.692,-4.015,1,0.0202,0.00000239,0.523,0.561,78.009
rock,0.385,0.433,-9.256,1,0.241,0.00000707,0.11,0.427,89.974
rock,0.451,0.929,-5.021,1,0.00109,0.00785,0.442,0.378,135.767
rock,0.285,0.825,-7.049,0,0.000826,0,0.268,0.516,164.611
rock,0.288,0.62,-10.103,1,0.24,0,0.0882,0.617,94.445
rock,0.329,0.885,-10.661,1,0.0242,0.00433,0.735,0.481,163.538
rock,0.645,0.792,-7.34,0,0.0562,0.0121,0.119,0.666,90.565
rock,0.541,0.711,-13.492,1,0.0635,0.0201,0.719,0.588,136.58
rock,0.593,0.749,-5.67,1,0.0113,0.106,0.314,0.649,164.959
rock,0.462,0.628,-5.659,1,0.0534,0.00025,0.12,0.0981,140.049
rock,0.511,0.815,-3.14,1,0.0491,0,0.0826,0.586,154.514
rock,0.645,0.809,-6.12,1,0.00921,0.00108,0.106,0.966,138.978
rock,0.267,0.953,-4.899,0,0.00211,0,0.283,0.568,84.989
rock,0.619,0.67,-10.322,0,0.00165,0.0109,0.331,0.777,129.269
rock,0.496,0.56,-6.925,1,0.000818,0,0.383,0.505,112.508
rock,0.541,0.662,-7.196,1,0.175,0,0.0803,0.742,144.046
rock,0.506,0.93,-3.499,1,0.129,0.00682,0.0931,0.305,146.994
rock,0.757,0.868,-9.326,1,0.411,0.00221,0.355,0.815,138.923
rock,0.353,0.866,-3.274,1,0.0000303,0.00003,0.295,0.544,165.215
rock,0.471,0.494,-10.407,1,0.387,0.0944,0.617,0.373,79.255
rock,0.623,0.94,-5.731,1,0.202,0.00184,0.0472,0.837,131.037
rock,0.668,0.921,-3.727,1,0.0492,0.00517,0.0877,0.782,120
rock,0.404,0.523,-15.7,1,0.685,0.000498,0.282,0.164,133.738
rock,0.701,0.539,-8.968,1,0.000655,0.005,0.0589,0.752,107.531
