danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,Genre
0.397,0.416,-11.062,0,0.589,0.851,0.0868,0.288,121.349,guitar
0.231,0.202,-16.949,1,0.738,0.000114,0.127,0.41,81.541,guitar
0.529,0.258,-13.269,1,0.833,0.0,0.361,0.362,105.949,guitar
0.556,0.384,-10.49,0,0.771,0.00138,0.139,0.137,99.984,guitar
0.524,0.267,-12.027,1,0.898,3.15e-06,0.106,0.383,81.274,guitar
0.546,0.0973,-17.154,1,0.955,0.914,0.116,0.191,175.938,guitar
0.523,0.194,-17.132,1,0.919,0.0,0.16,0.666,135.977,guitar
0.503,0.447,-5.29,1,0.591,0.0,0.254,0.407,79.279,guitar
0.599,0.585,-6.506,1,0.643,2.68e-05,0.16,0.845,79.006,guitar
0.358,0.179,-12.538,0,0.862,0.00239,0.122,0.106,89.225,guitar
0.655,0.458,-12.13,1,0.753,0.908,0.16,0.697,89.999,guitar
0.659,0.626,-7.771,1,0.174,0.0325,0.0634,0.507,78.987,guitar
0.559,0.567,-7.155,0,0.174,0.103,0.122,0.227,130.036,guitar
0.415,0.576,-11.628,0,0.834,0.808,0.698,0.556,100.54,guitar
0.804,0.493,-10.321,1,0.786,0.738,0.0809,0.888,94.804,guitar
0.757,0.382,-10.373,0,0.699,0.829,0.11,0.284,120.095,guitar
0.569,0.0507,-17.021,1,0.889,0.0,0.0679,0.298,117.579,guitar
0.406,0.354,-11.101,0,0.865,0.916,0.117,0.139,95.609,guitar
0.741,0.0484,-18.962,0,0.961,0.899,0.107,0.202,117.062,guitar
0.454,0.328,-6.089,1,0.871,0.85,0.117,0.451,139.757,guitar
0.489,0.27,-11.429,1,0.923,0.693,0.0885,0.288,164.146,guitar
0.66,0.564,-4.244,0,0.518,0.0,0.0948,0.821,86.082,guitar
0.751,0.817,-3.825,1,0.601,2.35e-05,0.152,0.784,102.048,guitar
0.688,0.193,-15.465,1,0.958,0.909,0.106,0.448,98.95,guitar
0.683,0.124,-17.963,0,0.982,0.905,0.109,0.417,114.755,guitar
0.747,0.401,-10.507,0,0.776,0.00047,0.122,0.636,81.019,guitar
0.799,0.353,-5.888,1,0.931,0.000136,0.224,0.713,87.566,guitar
0.709,0.0945,-22.648,0,0.935,0.959,0.089,0.096,128.024,guitar
0.436,0.135,-17.984,1,0.963,0.0413,0.12,0.0394,79.459,guitar
0.445,0.237,-15.108,1,0.96,0.883,0.114,0.338,141.063,guitar
0.157,7.26e-05,-28.381,1,0.932,0.888,0.116,0.0352,88.526,guitar
0.54,0.219,-10.054,1,0.387,0.0,0.247,0.366,81.87,guitar
0.753,0.564,-6.844,1,0.906,2.96e-05,0.12,0.781,105.686,guitar
0.561,0.017,-30.307,1,0.832,0.000387,0.099,0.156,143.849,guitar
0.255,0.31,-11.429,0,0.968,0.909,0.11,0.172,89.836,guitar
0.685,0.797,-5.372,1,0.506,0.00935,0.069,0.926,98.612,guitar
0.668,0.451,-6.167,0,0.283,0.0,0.108,0.59,122.063,guitar
0.645,0.696,-2.679,1,0.794,4.21e-06,0.253,0.761,72.207,guitar
0.14,0.0109,-26.251,1,0.863,0.966,0.121,0.0721,139.841,guitar
0.49,0.0909,-13.493,1,0.974,3.9e-06,0.103,0.257,108.158,guitar
0.599,0.241,-15.122,0,0.744,0.883,0.133,0.279,134.349,guitar
